item_id	i_genre_c	i_title_c
1	145	3053
2	115	1598
3	206	1286
4	185	3164
5	176	1011
6	63	1352
7	206	2589
8	106	3032
9	1	2875
10	37	1231
11	187	129
12	195	869
13	144	253
14	238	2147
15	29	731
16	259	541
17	251	2633
18	295	1098
19	176	42
20	1	1982
21	47	1176
22	224	680
23	295	202
24	257	2374
25	251	1714
26	238	2227
27	238	2167
28	287	2297
29	138	615
30	238	2668
31	238	749
32	257	3088
33	161	226
34	251	539
35	238	770
36	234	45
37	176	1547
38	206	637
39	238	721
40	261	2512
41	57	774
42	238	2498
43	2	1994
44	185	3024
45	251	1445
46	233	2639
47	153	2341
48	251	3213
49	233	3131
50	176	1943
51	238	1683
52	160	352
53	238	1169
54	238	1409
55	251	2371
56	247	663
57	115	1514
58	259	966
59	238	2003
60	176	849
61	206	3102
62	176	365
63	292	1707
64	206	1117
65	176	1121
66	46	1135
67	1	979
68	185	1624
69	245	1970
70	251	300
71	292	2620
72	234	2119
73	238	711
74	259	1607
75	238	3223
76	221	2972
77	238	171
78	238	2200
79	185	1699
80	251	161
81	126	3228
82	160	893
83	176	379
84	92	2118
85	238	1589
86	259	1880
87	206	3134
88	238	295
89	92	485
90	176	1501
91	238	1336
92	234	1361
93	259	610
94	176	440
95	176	2012
96	295	3116
97	176	1323
98	251	476
99	185	2153
100	111	2033
101	73	459
102	259	2934
103	16	2573
104	247	306
105	238	1869
106	234	167
107	215	3300
108	206	1487
109	176	2836
110	238	450
111	206	433
112	248	598
113	238	2814
114	176	1067
115	115	2105
116	234	1605
117	206	2320
118	251	1105
119	295	1558
120	176	861
121	234	1139
122	234	1854
123	251	3125
124	176	367
125	176	492
126	1	241
127	106	117
128	238	273
129	238	221
130	224	116
131	238	179
132	254	2526
133	271	51
134	10	279
135	238	314
136	261	338
137	176	415
138	213	522
139	106	542
140	238	631
141	28	665
142	260	703
143	234	718
144	84	805
145	227	815
146	92	825
147	185	852
148	238	1020
149	20	1046
150	112	1110
151	63	1300
152	176	1572
153	87	1586
154	33	1593
155	176	1608
156	238	1629
157	176	1761
158	271	1777
159	176	1791
160	251	1821
161	176	1839
162	41	1947
163	251	1990
164	295	2045
165	238	2081
166	292	2099
167	176	2143
168	176	2268
169	271	2408
170	176	2470
171	295	2590
172	238	2609
173	238	2685
174	238	2732
175	187	2757
176	275	2786
177	238	2832
178	62	2859
179	245	3108
180	295	3004
181	238	2996
182	251	3044
183	176	3029
184	1	3111
185	185	3121
186	234	3124
187	251	3167
188	2	3184
189	238	3225
190	297	3240
191	238	493
192	238	505
193	238	307
194	251	305
195	176	363
196	259	232
197	185	451
198	238	727
199	271	543
200	251	605
201	176	628
202	187	848
203	259	834
204	1	881
205	176	809
206	259	786
207	259	847
208	176	890
209	185	905
210	238	962
211	176	958
212	185	907
213	206	1116
214	206	1095
215	106	996
216	148	1245
217	295	1382
218	167	1070
219	245	1003
220	176	1247
221	216	1201
222	234	1418
223	240	1357
224	176	1440
225	251	1491
226	160	1360
227	1	1458
228	206	1481
229	243	1529
230	238	1571
231	176	1576
232	210	1604
233	286	1609
234	109	1625
235	224	1657
236	24	2826
237	238	1756
238	167	1750
239	238	1680
240	251	1737
241	255	1717
242	176	1835
243	238	1749
244	238	2054
245	251	1793
246	238	1783
247	238	1829
248	243	1881
249	176	1853
250	176	1972
251	206	1951
252	238	1958
253	176	1931
254	238	2057
255	259	2037
256	238	2154
257	238	2097
258	216	2108
259	206	2141
260	92	2091
261	206	2212
262	216	2201
263	295	2345
264	71	2236
265	222	2403
266	206	2289
267	206	2426
268	216	2414
269	238	2255
270	176	2424
